"StudId"	"AssignedSchName"
1	"Shopping Charter"
2	"shopping charter"
3	"The Shopping Charter"
4	"The Shopping Charter"
5	"Shopping Charter"
6	"The Shopping Charter"
7	"xx"
8	"Shopping Charter"
9	"Shopping Charter"
10	"The shopping charter"
11	"shopping charter"
12	"The Shopping Charter"
13	"Shopping Charter"
14	"Shopping Charter"
15	"XX"
16	"Shopping Charter"
17	"Shopping Charter"
18	"Shopping Charter"
19	"Shopping Charter"
20	"The Shopping Charter"
21	"Shopping Charter"
22	"Shopping Charter"
23	"Shopping Charter"
24	"The Shopping Charter"
25	"Shopping Charter"
26	"Shopping Charter"
28	"The Shopping Charter"
29	"shopping charter"
30	"shopping charter"
31	"the shopping charter"
32	"The Shopping Charter"
33	"Shopping Charter"
34	"shopping charter"
35	"XX"
36	"Shopping Charter"
37	"Shopping Charter"
38	"Shopping Charter"
39	"Shopping Charter"
40	"The Shopping Charter"
41	"Shopping Charter"
42	"The Shopping Charter"
43	"shopping charter"
44	"The Shopping Charter"
45	"Shopping Charter"
46	"Shopping Charter"
47	"Shopping Charter"
48	"The Shopping Charter"
49	"Shopping Charter"
50	"shopping charter"
51	"Shopping Charter"
52	"shopping charter"
53	"Shopping Charter"
54	"Shopping Charter"
55	"Shopping Charter"
57	"Shopping Charter"
58	"shopping charter"
60	"The Shopping Charter"
61	"Shopping Charter"
62	"shopping charter"
63	"Shopping Charter"
64	"The shopping charter"
65	"Shopping Charter"
66	"The Shopping Charter"
68	"XX"
69	"Shopping Charter"
70	"The Shopping Charter"
71	"shopping charter"
72	"The shopping charter"
73	"The Shopping Charter"
74	"the shopping charter"
75	"shopping charter"
76	"Shopping Charter"
77	"The Shopping Charter"
78	"The Shopping Charter"
79	"Shopping Charter"
80	"the shopping charter"
81	"shopping charter"
82	"the shopping charter"
84	"the shopping charter"
85	"Shopping Charter"
86	"Shopping Charter"
87	"shopping charter"
88	"Shopping Charter"
89	"Shopping Charter"
90	"shopping charter"
91	"Shopping Charter"
93	"Shopping Charter"
94	"Shopping Charter"
95	"The Shopping Charter"
96	"Shopping Charter"
97	"shopping charter"
98	"XX"
99	"The Shopping Charter"
100	"Shopping Charter"
101	"shopping charter"
102	"The shopping charter"
103	"The Shopping Charter"
104	"Shopping Charter"
105	"The shopping charter"
106	"The Shopping Charter"
107	"The shopping charter"
108	"Shopping Charter"
109	"shopping charter"
110	"Shopping Charter"
111	"XX"
112	"shopping charter"
113	"The Shopping Charter"
114	"The Shopping Charter"
115	"The Shopping Charter"
116	"Shopping Charter"
117	"Shopping Charter"
118	"Shopping Charter"
119	"shopping charter"
120	"The Shopping Charter"
121	"Shopping Charter"
122	"Shopping Charter"
123	"xx"
124	"Shopping Charter"
125	"the shopping charter"
126	"The Shopping Charter"
127	"shopping charter"
129	"The Shopping Charter"
130	"Shopping Charter"
131	"The shopping charter"
132	"Shopping Charter"
133	"Shopping Charter"
134	"Shopping Charter"
135	"Shopping Charter"
136	"The Shopping Charter"
137	"shopping charter"
138	"The Shopping Charter"
139	"shopping charter"
140	"The Shopping Charter"
141	"Shopping Charter"
142	"The Shopping Charter"
143	"Shopping Charter"
144	"Shopping Charter"
145	"shopping charter"
146	"The shopping charter"
147	"The Shopping Charter"
148	"the shopping charter"
149	"Shopping Charter"
150	"shopping charter"
151	"Shopping Charter"
152	"shopping charter"
153	"The Shopping Charter"
154	"the shopping charter"
155	"the shopping charter"
156	"Shopping Charter"
157	"Shopping Charter"
158	"The Shopping Charter"
159	"The Shopping Charter"
160	"shopping charter"
161	"shopping charter"
162	"Shopping Charter"
163	"the shopping charter"
164	"Shopping Charter"
