"Student Id","Student Race","Student Gender","Pretest Score","Posttest Score"
1,"Sweet","Bass",105,999
2,"Sweet","Bass",75,72
3,"Sweet","Bass",81,157
4,"Sour","Treble",122,188
5,"Salty","Treble",79,115
6,"Sour","Bass",127,183
7,"Sweet","Bass",113,150
8,"Sweet","Treble",113,140
9,"Sweet","Bass",96,156
10,"Bitter","Treble",NA,186
11,"Sweet","Bass",110,117
12,"Sweet","Bass",108,207
13,"Sour","Bass",97,147
14,"Sour","Treble",141,197
15,"Sour","Bass",139,173
16,"Sour","Bass",107,153
17,"Sweet","Bass",95,171
18,"Sweet","Bass",98,161
19,"Sour","Treble",63,76
20,"Sweet","Bass",110,149
21,"Sour","Treble",111,119
22,"Sour","Treble",144,120
23,"Sour","Treble",90,134
24,"Sweet","Bass",96,158
25,"Sweet","Treble",81,154
26,"Sour","Bass",117,164
27,"Sweet","Bass",NA,178
28,"Sweet","Bass",102,149
29,"Sweet","Bass",81,83
30,"Sour","Bass",119,163
31,"Bitter","Bass",999,174
32,"Sweet","Treble",112,223
33,"Sweet","Bass",124,111
34,"Sour","Treble",105,130
35,"Sour","Treble",115,200
36,"Sweet","Bass",69,97
37,"Bitter","Bass",112,173
38,"Sweet","Bass",89,149
39,"Sweet","Bass",104,999
40,"Sweet","Bass",100,190
41,"Sour","Treble",123,145
42,"Sweet","Bass",96,186
43,"Sweet","Treble",103,183
44,"Sweet","Bass",95,127
45,"Sour","Treble",124,138
46,"Sweet","Bass",76,159
47,"Sweet","Bass",90,134
48,"Sour","Treble",128,160
49,"Sweet","Bass",70,138
50,"Bitter","Treble",94,158
51,"Sour","Treble",108,125
52,"Bitter","Bass",100,137
53,"Sour","Treble",107,152
54,"Sour","Treble",91,97
55,"Sour","Bass",107,100
56,"Sweet","Treble",96,125
57,"Sweet","Treble",76,142
58,"Sour","Treble",99,160
59,"Sour","Treble",95,109
60,"Sour","Bass",125,148
61,"Salty","Treble",999,124
62,"Sweet","Bass",114,115
63,"Sweet","Bass",93,76
64,"Salty","Bass",119,154
65,"Sour","Bass",116,178
66,"Salty","Treble",82,139
67,"Sweet","Treble",94,161
68,"Sour","Treble",105,130
69,"Sweet","Bass",105,142
70,"Salty","Bass",97,146
71,"Sweet","Bass",73,156
72,"Bitter","Bass",98,96
73,"Sour","Treble",101,144
74,"Sweet","Treble",62,94
75,"Sour","Treble",999,158
76,"Sour","Treble",133,190
77,"Sweet","Bass",114,192
78,"Sweet","Bass",136,999
79,"Sour","Bass",79,114
80,"Sour","Treble",999,163
81,"Sweet","Bass",131,145
82,"Sweet","Bass",104,141
83,"Sweet","Bass",91,128
84,"Bitter","Bass",104,111
85,"Sweet","Bass",99,153
86,"Bitter","Treble",999,130
87,"Sour","Treble",90,150
88,"Salty","Bass",118,137
89,"Bitter","Treble",95,135
90,"Sweet","Bass",89,142
91,"Sweet","Bass",104,159
92,"Sweet","Treble",95,129
93,"Salty","Treble",107,156
94,"Sour","Treble",93,106
95,"Sweet","Bass",62,92
96,"Sour","Treble",127,163
97,"Sour","Treble",100,135
98,"Sour","Bass",118,172
99,"Sour","Treble",93,95
100,"Sweet","Bass",999,98
101,"Sweet","Bass",96,127
102,"Sweet","Treble",83,126
103,"Sweet","Bass",121,157
104,"Sour","Treble",116,154
105,"Sweet","Bass",85,147
106,"Bitter","Treble",82,132
107,"Salty","Bass",76,140
108,"Salty","Treble",111,157
109,"Sweet","Treble",86,176
110,"Sour","Treble",111,168
111,"Sweet","Treble",93,67
112,"Sour","Treble",126,212
113,"Salty","Bass",93,999
114,"Sour","Bass",98,98
115,"Sour","Treble",119,136
116,"Sweet","Treble",78,93
117,"Salty","Treble",90,110
118,"Sweet","Bass",75,141
119,"Sour","Treble",96,146
120,"Sweet","Bass",114,146
121,"Salty","Bass",106,181
122,"Sweet","Bass",999,999
123,"Sour","Treble",93,152
124,"Sweet","Treble",75,149
125,"Sweet","Bass",118,134
126,"Sour","Treble",66,999
127,"Sour","Treble",83,122
128,"Bitter","Bass",92,128
129,"Sweet","Bass",112,111
130,"Sweet","Bass",92,129
131,"Salty","Treble",110,179
132,"Sour","Treble",118,123
133,"Salty","Treble",102,151
134,"Sour","Treble",119,169
135,"Sweet","Treble",96,133
136,"Sour","Treble",100,161
137,"Sour","Treble",108,999
138,"Sweet","Bass",115,186
139,"Salty","Treble",87,127
140,"Sour","Treble",104,94
141,"Sour","Treble",131,206
142,"Sweet","Treble",56,159
143,"Bitter","Treble",93,154
144,"Sweet","Treble",121,96
145,"Sour","Bass",109,154
146,"Salty","Treble",79,138
147,"Bitter","Bass",104,183
148,"Sweet","Treble",90,94
149,"Sour","Treble",89,115
150,"Sour","Treble",999,148
151,"Sweet","Bass",103,186
152,"Sweet","Bass",113,999
153,"Sour","Treble",90,140
154,"Bitter","Bass",86,62
155,"Sweet","Bass",78,126
156,"Sour","Treble",121,130
157,"Sour","Treble",89,197
158,"Sweet","Treble",80,163
159,"Sour","Treble",77,113
160,"Bitter","Bass",108,135
161,"Sweet","Bass",92,999
162,"Sour","Bass",102,161
163,"Sweet","Treble",999,121
164,"Sweet","Bass",76,103
165,"Sweet","Bass",116,94
166,"Salty","Bass",93,171
167,"Salty","Treble",106,166
168,"Salty","Treble",99,141
169,"Sour","Bass",111,999
170,"Sweet","Bass",79,101
171,"Sour","Bass",137,148
172,"Sour","Treble",66,123
173,"Bitter","Bass",115,168
174,"Sour","Treble",135,199
175,"Sweet","Bass",92,119
176,"Sweet","Bass",104,136
177,"Bitter","Treble",82,93
178,"Sour","Bass",133,161
179,"Sour","Bass",89,144
180,"Sweet","Bass",85,160
181,"Bitter","Treble",96,999
182,"Sour","Treble",999,102
183,"Salty","Bass",121,135
184,"Sour","Treble",123,178
185,"Sour","Treble",NA,109
186,"Bitter","Treble",NA,173
187,"Sour","Treble",108,189
188,"Sweet","Bass",155,225
189,"Sweet","Treble",117,145
190,"Sweet","Bass",129,126
191,"Sour","Bass",104,183
192,"Sweet","Bass",96,98
193,"Sweet","Bass",91,165
194,"Sweet","Bass",109,131
195,"Salty","Bass",77,123
196,"Salty","Treble",152,166
197,"Sour","Bass",116,152
198,"Sour","Bass",151,174
199,"Sweet","Treble",65,116
200,"Sour","Bass",116,149
201,"Sour","Treble",82,121
202,"Sweet","Treble",54,82
203,"Sweet","Treble",61,107
