"STUDID","After School Programming"
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,0
9,0
10,-1
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,-1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,-1
42,1
43,-1
44,-1
45,1
46,0
47,0
48,-1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,-1
64,-1
65,0
66,1
67,0
68,-1
69,0
70,0
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,-1
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,0
140,0
141,1
142,1
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,1
151,-1
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,0
177,0
178,-1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,0
190,0
191,-1
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,-1
202,0
203,0
204,-1
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,-1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,-1
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
