"StudId","Bpi"
"1",""
"2","6"
"3","2"
"4","NA"
"5","1"
"6","2"
"7","2"
"8","3"
"9",""
"10","NA"
"11",""
"12","NA"
"13","1"
"14","1"
"15","1"
"16","1"
"17",""
"18","2"
"19","NA"
"20","3"
"21","NA"
"22",""
"23",""
"24","NA"
"25","4"
"26","2"
"27","NA"
"28",""
"29","5"
"30","2"
"31","4"
"32","4"
"33",""
"34",""
"35","2"
"36","3"
"37","2"
"38",""
"39",""
"40","NA"
"41","2"
"42",""
"43","NA"
"44","4"
"45","2"
"46","2"
"47","2"
"48","0"
"49","3"
"50","2"
"51","2"
"52","2"
"53","NA"
"54","2"
"55",""
"56",""
"57","2"
"58","3"
"59","1"
"60","2"
"61",""
"62","NA"
"63","2"
"64","1"
"65","1"
"66","1"
"67","3"
"68",""
"69",""
"70","2"
"71","4"
"72","NA"
"73","2"
"74","NA"
"75","2"
"76","1"
"77","1"
"78","4"
"79","2"
"80",""
"81",""
"82","4"
"83",""
"84","3"
"85","3"
"86","2"
"87","2"
"88","4"
"89","3"
"90",""
"91","2"
"92",""
"93","1"
"94","1"
"95","10"
"96","NA"
"97","2"
"98","1"
"99","3"
"100","8"
"101","NA"
"102","3"
"103","1"
"104","NA"
"105","2"
"106","2"
"107",""
"108","2"
"109",""
"110","2"
"111",""
"112","5"
"113","NA"
"114","2"
"115","2"
"116","4"
"117","7"
"118","3"
"119","NA"
"120","2"
"121","NA"
"122","5"
"123","7"
"124",""
"125",""
"126","3"
"127","2"
"128","7"
"129","3"
"130","1"
"131","1"
"132","2"
"133","1"
"134",""
"135",""
"136","NA"
"137",""
"138","1"
"139","3"
"140","4"
"141","1"
"142","2"
"143",""
"144","3"
"145",""
"146","NA"
"147","NA"
"148",""
"149","NA"
"150","NA"
"151","2"
"152","1"
"153","4"
"154","5"
"155","6"
"156","1"
"157","4"
"158","4"
"159",""
"160",""
"161","2"
"162","2"
"163","11"
"164","1"
"165","NA"
"166","3"
"167","1"
"168","2"
"169","NA"
"170","6"
"171","1"
"172","3"
"173","2"
"174","2"
"175","NA"
"176","2"
"177","3"
"178","2"
"179","3"
"180",""
"181","3"
"182","5"
"183","3"
"184","1"
"185","3"
"186","2"
"187",""
"188",""
"189",""
"190","3"
"191","2"
"192","7"
"193","1"
"194",""
"195",""
"196",""
"197","2"
"198","4"
"199",""
"200","0"
"201","NA"
"202",""
"203","5"
"204",""
"205",""
"206","3"
"207","6"
"208","NA"
"209","6"
"210","NA"
"211","NA"
"212","5"
"213",""
"214","3"
"215","3"
"216","6"
"217",""
"218","NA"
